run project     sweep                                            variant                        prompt     n  ok  FP  FN fail      usd | baseline ok/FP/FN | med_s p95_s out_tok
 24 agent-evals relevance-open-models-bounded-agent-evals        qwen3-235b-2507                reused    73  63   6   4    0   0.0062 | 67/6/0 | 5.2 9.5 109
 25 agent-evals relevance-open-models-bounded-agent-evals        kimi-k2-0905                   reused    73  59   2  12    0   0.0611 | 67/6/0 | 3.8 4.7 127
 26 agent-ops   relevance-open-models-bounded-agent-ops          qwen3-235b-2507                reused    51  39   4   8    0   0.0039 | 42/7/2 | 4.6 6.3 117
 27 agent-ops   relevance-open-models-bounded-agent-ops          kimi-k2-0905                   reused    51  30   1  20    0   0.0429 | 42/7/2 | 3.6 5.1 137
 28 agent-ops   relevance-prompt-agent-ops-gemini-2-5-flash      no-reject                      override  51  42   8   1    0   0.0210 | 42/7/2 | 1.5 3.6 77
 29 agent-ops   relevance-prompt-agent-ops-qwen3-235b            no-reject                      override  51  40   8   3    0   0.0036 | 42/7/2 | 3.5 4.7 119
 30 agent-ops   relevance-prompt-agent-ops-gemini-2-5-flash      topical                        override  51  36  13   2    0   0.0266 | 42/7/2 | 1.3 3.5 93
 31 agent-ops   relevance-prompt-agent-ops-qwen3-235b            topical                        override  51  41   8   2    0   0.0037 | 42/7/2 | 3.6 4.6 118
 32 agent-evals relevance-prompt-agent-evals-qwen3-235b          no-reject                      override  73  65   7   1    0   0.0050 | 67/6/0 | 3.9 5.2 107
 33 agent-evals relevance-prompt-agent-evals-gemini-2-5-flash    no-reject                      override  73  68   5   0    0   0.0283 | 67/6/0 | 1.2 1.9 63
 34 agent-ops   relevance-local-agent-ops-current                qwen3-30b-a3b-2507             reused    51  30   2  19    0   0.0039 | 42/7/2 | 1.7 3.1 137
 35 agent-evals relevance-local-agent-evals-current              qwen3-30b-a3b-2507             reused    73  63   1   9    0   0.0056 | 67/6/0 | 1.6 3.5 140
 36 agent-evals relevance-prompt-agent-evals-gemini-2-5-flash    topical                        override  73  66   7   0    0   0.0333 | 67/6/0 | 1.2 1.8 61
 37 agent-ops   relevance-local-agent-ops-current                gpt-oss-20b                    reused    51  30   1  20    0   0.0021 | 42/7/2 | 5.3 9.7 243
 38 agent-evals relevance-local-agent-evals-current              gpt-oss-20b                    reused    73  60   4   9    0   0.0030 | 67/6/0 | 5.5 11.0 226
 39 agent-evals relevance-prompt-agent-evals-qwen3-235b          topical                        override  73  66   7   0    0   0.0051 | 67/6/0 | 3.2 5.1 103
 40 agent-ops   relevance-local-agent-ops-current                gemma-4-26b-a4b                reused    51  30   1  20    0   0.0061 | 42/7/2 | 1.8 3.1 102
 41 agent-ops   relevance-local-agent-ops-current                gemma-4-31b                    reused    51  31   1  19    0   0.0138 | 42/7/2 | 3.0 8.9 101
 42 agent-evals relevance-local-agent-evals-current              gemma-4-26b-a4b                reused    73  63   2   8    0   0.0088 | 67/6/0 | 1.9 3.1 98
 43 agent-ops   relevance-local-agent-ops-current                mistral-small-2603             reused    51  34   2  15    0   0.0048 | 42/7/2 | 1.1 1.5 81
 44 agent-evals relevance-local-agent-evals-current              gemma-4-31b                    reused    73  61   1  11    0   0.0180 | 67/6/0 | 2.1 6.1 95
 45 agent-ops   relevance-local-agent-ops-current                nemotron-3-nano-30b            reused    51  38   7   6    0   0.0204 | 42/7/2 | 8.7 18.1 1685
 46 agent-evals relevance-local-agent-evals-current              mistral-small-2603             reused    73  62   2   9    0   0.0071 | 67/6/0 | 1.1 1.6 83
 47 agent-evals relevance-local-agent-evals-current              nemotron-3-nano-30b            reused    73  63   7   3    0   0.0218 | 67/6/0 | 5.3 17.4 1179
 48 agent-ops   relevance-local-agent-ops-current                llama-3-3-70b                  reused    51  30   4  17    0   0.0068 | 42/7/2 | 4.9 12.2 64
 49 agent-evals relevance-local-agent-evals-current              llama-3-3-70b                  reused    73  64   4   5    0   0.0098 | 67/6/0 | 3.0 8.3 65
 50 agent-ops   relevance-local-agent-ops-current                glm-4-5-air                    reused    51  40   4   7    0   0.0236 | 42/7/2 | 8.6 10.1 492
 51 agent-evals relevance-local-agent-evals-current              glm-4-5-air                    reused    73  68   4   1    0   0.0328 | 67/6/0 | 7.5 10.2 477
 52 agent-ops   relevance-local-agent-ops-current                glm-4-7-flash                  reused    51  29   5  17    0   0.0139 | 42/7/2 | 11.3 23.6 542
 53 agent-evals relevance-local-agent-evals-current              glm-4-7-flash                  reused    73  62   6   5    0   0.0200 | 67/6/0 | 10.0 26.2 528
 54 agent-ops   relevance-local-agent-ops-current                qwen3-next-80b-a3b             reused    51  29   2  20    0   0.0150 | 42/7/2 | 0.9 1.1 119
 55 agent-ops   relevance-local-agent-ops-current                nemotron-3-super-120b          reused    51  23   1  13   14   0.0074 | 42/7/2 | 7.9 16.9 535
 56 agent-ops   relevance-local-agent-ops-current                llama-4-scout                  reused    51  33   2  11    5   0.0202 | 42/7/2 | 3.1 7.0 129
 57 agent-evals relevance-local-agent-evals-current              qwen3-next-80b-a3b             reused    73  59   3  11    0   0.0168 | 67/6/0 | 1.5 2.6 124
 58 agent-evals relevance-local-agent-evals-current              nemotron-3-super-120b          reused    73  36   3   6   28   0.0095 | 67/6/0 | 7.1 15.4 440
 59 agent-ops   relevance-local-agent-ops-topical                qwen3-30b-a3b-2507             override  51  40   7   4    0   0.0042 | 42/7/2 | 2.0 3.7 136
 60 agent-ops   relevance-local-agent-ops-topical                gpt-oss-20b                    override  51  36  12   3    0   0.0027 | 42/7/2 | 5.1 12.2 286
 61 agent-evals relevance-local-agent-evals-current              llama-4-scout                  reused    73  40   1   2   30   0.0136 | 67/6/0 | 2.5 6.1 123
 62 agent-ops   relevance-local-agent-ops-topical                gemma-4-26b-a4b                override  51  42   6   3    0   0.0069 | 42/7/2 | 2.1 3.4 103
 63 agent-ops   relevance-local-agent-ops-topical                gemma-4-31b                    override  51  41   7   3    0   0.0128 | 42/7/2 | 1.5 4.1 108
 64 agent-evals relevance-local-agent-evals-topical              qwen3-30b-a3b-2507             override  73  65   5   3    0   0.0060 | 67/6/0 | 1.5 3.3 126
 65 agent-ops   relevance-local-agent-ops-topical                mistral-small-2603             override  51  39  10   2    0   0.0050 | 42/7/2 | 1.2 4.9 92
 66 agent-evals relevance-local-agent-evals-topical              gpt-oss-20b                    override  73  64   8   1    0   0.0033 | 67/6/0 | 10.2 21.0 219
 67 agent-ops   relevance-local-agent-ops-topical                nemotron-3-nano-30b            override  51  34  16   1    0   0.0186 | 42/7/2 | 7.0 28.0 1465
 68 agent-ops   relevance-local-agent-ops-topical                llama-3-3-70b                  override  51  38  10   3    0   0.0085 | 42/7/2 | 4.7 11.1 69
