run project     sweep                                            variant                        prompt     n  ok  FP  FN fail      usd | baseline ok/FP/FN | med_s p95_s out_tok
 24 agent-evals relevance-open-models-bounded-agent-evals        qwen3-235b-2507                reused    28  19   5   4    0   0.0026 | 23/5/0 | 5.6 8.8 126
 25 agent-evals relevance-open-models-bounded-agent-evals        kimi-k2-0905                   reused    28  15   1  12    0   0.0241 | 23/5/0 | 4.1 4.7 135
 26 agent-ops   relevance-open-models-bounded-agent-ops          qwen3-235b-2507                reused    51  39   4   8    0   0.0039 | 42/7/2 | 4.6 6.3 117
 27 agent-ops   relevance-open-models-bounded-agent-ops          kimi-k2-0905                   reused    51  30   1  20    0   0.0429 | 42/7/2 | 3.6 5.1 137
 28 agent-ops   relevance-prompt-agent-ops-gemini-2-5-flash      no-reject                      override  51  42   8   1    0   0.0210 | 42/7/2 | 1.5 3.6 77
 29 agent-ops   relevance-prompt-agent-ops-qwen3-235b            no-reject                      override  51  40   8   3    0   0.0036 | 42/7/2 | 3.5 4.7 119
 30 agent-ops   relevance-prompt-agent-ops-gemini-2-5-flash      topical                        override  51  36  13   2    0   0.0266 | 42/7/2 | 1.3 3.5 93
 31 agent-ops   relevance-prompt-agent-ops-qwen3-235b            topical                        override  51  41   8   2    0   0.0037 | 42/7/2 | 3.6 4.6 118
 32 agent-evals relevance-prompt-agent-evals-qwen3-235b          no-reject                      override  28  21   6   1    0   0.0022 | 23/5/0 | 4.4 5.6 126
 33 agent-evals relevance-prompt-agent-evals-gemini-2-5-flash    no-reject                      override  28  23   5   0    0   0.0123 | 23/5/0 | 1.3 1.7 82
 34 agent-ops   relevance-local-agent-ops-current                qwen3-30b-a3b-2507             reused    51  30   2  19    0   0.0039 | 42/7/2 | 1.7 3.1 137
 35 agent-evals relevance-local-agent-evals-current              qwen3-30b-a3b-2507             reused    28  18   1   9    0   0.0023 | 23/5/0 | 1.8 2.9 161
 36 agent-evals relevance-prompt-agent-evals-gemini-2-5-flash    topical                        override  28  21   7   0    0   0.0139 | 23/5/0 | 1.3 1.7 76
 37 agent-ops   relevance-local-agent-ops-current                gpt-oss-20b                    reused    51  30   1  20    0   0.0021 | 42/7/2 | 5.3 9.7 243
 38 agent-evals relevance-local-agent-evals-current              gpt-oss-20b                    reused    28  15   4   9    0   0.0014 | 23/5/0 | 6.5 10.9 313
 39 agent-evals relevance-prompt-agent-evals-qwen3-235b          topical                        override  28  22   6   0    0   0.0021 | 23/5/0 | 3.5 5.8 116
 40 agent-ops   relevance-local-agent-ops-current                gemma-4-26b-a4b                reused    51  30   1  20    0   0.0061 | 42/7/2 | 1.8 3.1 102
 41 agent-ops   relevance-local-agent-ops-current                gemma-4-31b                    reused    51  31   1  19    0   0.0138 | 42/7/2 | 3.0 8.9 101
 42 agent-evals relevance-local-agent-evals-current              gemma-4-26b-a4b                reused    28  19   1   8    0   0.0036 | 23/5/0 | 2.1 3.1 119
 43 agent-ops   relevance-local-agent-ops-current                mistral-small-2603             reused    51  34   2  15    0   0.0048 | 42/7/2 | 1.1 1.5 81
 44 agent-evals relevance-local-agent-evals-current              gemma-4-31b                    reused    28  17   0  11    0   0.0073 | 23/5/0 | 2.7 5.7 107
 45 agent-ops   relevance-local-agent-ops-current                nemotron-3-nano-30b            reused    51  38   7   6    0   0.0204 | 42/7/2 | 8.7 18.1 1685
 46 agent-evals relevance-local-agent-evals-current              mistral-small-2603             reused    28  17   2   9    0   0.0032 | 23/5/0 | 1.2 1.7 97
 47 agent-evals relevance-local-agent-evals-current              nemotron-3-nano-30b            reused    28  19   6   3    0   0.0119 | 23/5/0 | 7.9 19.3 1802
 48 agent-ops   relevance-local-agent-ops-current                llama-3-3-70b                  reused    51  30   4  17    0   0.0068 | 42/7/2 | 4.9 12.2 64
 49 agent-evals relevance-local-agent-evals-current              llama-3-3-70b                  reused    28  19   4   5    0   0.0038 | 23/5/0 | 4.5 8.5 70
 50 agent-ops   relevance-local-agent-ops-current                glm-4-5-air                    reused    51  40   4   7    0   0.0236 | 42/7/2 | 8.6 10.1 492
 51 agent-evals relevance-local-agent-evals-current              glm-4-5-air                    reused    28  23   4   1    0   0.0127 | 23/5/0 | 7.6 11.1 479
 52 agent-ops   relevance-local-agent-ops-current                glm-4-7-flash                  reused    51  29   5  17    0   0.0139 | 42/7/2 | 11.3 23.6 542
 53 agent-evals relevance-local-agent-evals-current              glm-4-7-flash                  reused    28  18   5   5    0   0.0094 | 23/5/0 | 12.2 25.1 683
 54 agent-ops   relevance-local-agent-ops-current                qwen3-next-80b-a3b             reused    51  29   2  20    0   0.0150 | 42/7/2 | 0.9 1.1 119
 55 agent-ops   relevance-local-agent-ops-current                nemotron-3-super-120b          reused    51  23   1  13   14   0.0074 | 42/7/2 | 7.9 16.9 535
 56 agent-ops   relevance-local-agent-ops-current                llama-4-scout                  reused    51  33   2  11    5   0.0202 | 42/7/2 | 3.1 7.0 129
